Input State,Input Size,SelectionSort,InsertionSort,BinaryInsertionSort,InterchangeSort,BubbleSort,ShakerSort,ShellSort,HeapSort,MergeSort,QuickSort,CountingSort,RadixSort,FlashSort
Sorted,1000,0.002,0,0,0.002,0.002,0,0,0,0,0,0.005,0,0,
Sorted,5000,0.033,0,0,0.033,0.037,0,0,0.001,0.001,0,0.007,0.001,0.001,
Sorted,10000,0.133,0,0,0.213,0.15,0,0,0.001,0.002,0.001,0.005,0.003,0,
Sorted,50000,3.32,0,0.002,3.342,4.013,0,0,0.009,0.016,0.003,0.006,0.007,0.003,
Sorted,100000,12.653,0,0.006,12.687,14.718,0.001,0.001,0.018,0.048,0.007,0.009,0.012,0.011,
Sorted,250000,81.713,0.001,0.02,84.706,96.043,0.002,0.002,0.06,0.107,0.025,0.009,0.036,0.02,
Reversed,1000,0.001,0.001,0.001,0.012,0.002,0.002,0.001,0,0,0,0.005,0,0,
Reversed,5000,0.036,0.035,0.023,0.48,0.05,0.065,0.03,0,0.001,0.001,0.006,0,0,
Reversed,10000,0.154,0.14,0.095,1.314,0.202,0.232,0.089,0.001,0.003,0,0.013,0.001,0.001,
Reversed,50000,6.163,3.644,2.486,23.752,5.084,5.766,2.829,0.009,0.016,0.003,0.006,0.006,0.004,
Reversed,100000,21.267,14.344,9.766,66.293,20.886,23.295,11.345,0.019,0.033,0.007,0.007,0.012,0.008,
Reversed,250000,102.144,93.868,65.297,233.602,133.716,151.308,63.395,0.049,0.094,0.019,0.007,0.032,0.021,
Random,1000,0.001,0.001,0.001,0.008,0.002,0.002,0.001,0.001,0,0,0.005,0,0.006,
Random,5000,0.036,0.018,0.012,0.194,0.06,0.042,0.013,0.001,0.003,0,0.005,0.001,0,
Random,10000,0.137,0.071,0.048,0.809,0.271,0.195,0.055,0.002,0.005,0.001,0.006,0.003,0,
Random,50000,3.284,1.812,1.361,16.625,8.06,5.567,1.584,0.012,0.029,0.008,0.006,0.006,0.003,
Random,100000,13.177,7.176,4.864,51.443,32.115,22.272,6.151,0.025,0.068,0.016,0.007,0.016,0.008,
Random,250000,86.688,48.818,31.362,208.956,203.177,140.672,36.898,0.072,0.169,0.042,0.008,0.031,0.021,
NearlySorted,1000,0.001,0,0,0.002,0.002,0,0,0,0,0,0.007,0.001,0,
NearlySorted,5000,0.04,0,0.001,0.033,0.039,0,0,0.001,0.001,0,0.005,0,0,
NearlySorted,10000,0.138,0,0,0.136,0.154,0,0.001,0.001,0.006,0,0.005,0.001,0.001,
NearlySorted,50000,3.396,0.001,0.003,3.598,4.178,0,0,0.009,0.018,0.003,0.008,0.007,0.004,
NearlySorted,100000,14.545,0.001,0.01,13.794,14.817,0.001,0.002,0.019,0.037,0.007,0.006,0.012,0.007,
NearlySorted,250000,78.157,0.002,0.016,79.503,92.643,0.002,0.002,0.053,0.12,0.021,0.008,0.037,0.022,
